Label,Link,Fridge,Freezer,Pantry
"TEMPURA DIPPING SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/18492,730,,
"TEMPURA DIPPING SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18493,,,1095
"TERIYAKI SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18495,365,,
"TERIYAKI SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18496,,,1095
"THOUSAND ISLAND SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18819,210,,
"THOUSAND ISLAND SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18820,,,450
"WASABI PASTE, COMMERCIALLY PACKAGED - OPENED",https://www.stilltasty.com/Fooditems/index/18657,540,,
"WASABI PASTE, COMMERCIALLY PACKAGED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18658,,,540
"WORCESTERSHIRE SAUCE, COMMERCIALLY BOTTLED - OPENED ",https://www.stilltasty.com/Fooditems/index/18703,1095,,
"WORCESTERSHIRE SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18704,,,1460
